Word,meanings,image_file_path,image_url
construe,"2. To interpret or to understand the meaning of a word, a gesture, or an action in a particular way: ""The silence of the witness in a legal trial could be construed as an admission of guilt.""
3. If something is construed in a particular way, its nature or meaning is interpreted in that way.
4. Etymology: from Middle English
construen
construere
con-
struere",,
consuic,,,
conviction,"conviction
2. A firmness of an opinion; such as, something that is said with complete certainty or confidence: Mrs. Smith had a strong
conviction
3. An act of finding someone guilty of a crime: The evidence pointed out that a
conviction
4. The act or process of persuading or the state of being convinced: The teachers of the school all shared a strong
conviction
so you can see more of Mickey Bach's cartoons.",images\conviction_222_0.jpg,http://www.wordinfo.info/words/images/conviction-1.jpg
cordial,"cordial
2.Relating to someone who is radiating warmth and friendliness; genial: The people who attended Mike's birthday party received
cordial
3. Etymology: from Latin
cor-, cord-
so you can see more of Mickey Bach's cartoons.",images\cordial_223_0.jpg,http://www.wordinfo.info/words/images/cordial-1.jpg
corrolale,,,
coroboralon,,,
countenance,"countenance

so you can see more of Mickey Bach's cartoons.","images\countenance_226_0.jpg,images\countenance_226_1.jpg","http://www.wordinfo.info/words/images/countenance-1.jpg,http://www.wordinfo.info/words/images/countenance-2.jpg"
counterfeit,,,
coverous,,,
cower,,,
crass,"crass

so you can see more of Mickey Bach's cartoons.","images\crass_230_0.jpg,images\crass_230_1.jpg,images\crass_230_2.jpg","http://www.wordinfo.info/words/images/crass-1.jpg,http://www.wordinfo.info/words/images/crass-2.jpg,http://www.wordinfo.info/words/images/Crass-color-1.jpg"
crease,"crease
kris
creese",,
cringe,"cringe
2. To make a sudden movement from fear of being hit or hurt: Sharon's dog
cringed
so you can see more of Mickey Bach's cartoons.",images\cringe_232_0.jpg,http://www.wordinfo.info/words/images/cringe-1.jpg
cryptic,"cryptic
2. Referring to an indirect solution or clue; such as, crosswords, riddles, or anagrams: The puzzle book that Jack got as a Christmas present from his parents began with easy sudoku to solve, then preceding to the most challenging and
cryptic
3. Secret or hidden in some way: The little group of children decided that they needed a
cryptic
4. Relating to codes and similar techniques: David created a
cryptic
5. In zoology, used to describe body markings and color that camouflage an animal: Among birds, the female hummingbirds have more
cryptic

so you can see more of Mickey Bach's cartoons.","images\cryptic_233_0.jpg,images\cryptic_233_1.jpg","http://www.wordinfo.info/words/images/cryptic-1.jpg,http://www.wordinfo.info/words/images/cryptic-2.jpg"
cumbersome,"cumbersome
2. Referring to something that is complicated and hard to do: Jane had to fill out a
cumbersome
3. Relating to any thing that is long and difficult to read or to say: Harriet's expanded job title is really a
cumbersome
4. Something that is awkward or difficult to carry, to move, to manipulate, to deal with, or to handle because it is heavy, large, or clumsy: It is said that the medieval suit of armor, while
cumbersome
cumbersome
so you can see more of Mickey Bach's cartoons.",images\cumbersome_234_0.jpg,http://www.wordinfo.info/words/images/cumbersome-1.jpg
cupidity,"cupidity
Cupidity
It smells, rather, of ill-repute,
Though passion its seed,
It connotes bad greed,
Or avarice quite absolute.

As seen at ""A Word a Day""; January 29, 1997; http://wordsmith.org/awad.


so you can see more of Mickey Bach's cartoons.","images\cupidity_235_0.jpg,images\cupidity_235_1.jpg","http://www.wordinfo.info/words/images/cupidity-1.jpg,http://www.wordinfo.info/words/images/cupidity-3.jpg"
curriculum,"curriculum
2. The related courses particular to a field of study: It will be necessary for Betty to take and to pass seven of the eight courses in the anthropology
curriculum


so you can see more of Mickey Bach's cartoons.","images\curriculum_236_0.jpg,images\curriculum_236_1.jpg,images\curriculum_236_2.jpg","http://www.wordinfo.info/words/images/curriculum-1.jpg,http://www.wordinfo.info/words/images/curriculum-2.jpg,http://www.wordinfo.info/words/images/curriculum-3.jpg"
cursory,"cursory

so you can see more of Mickey Bach's cartoons.","images\cursory_237_0.jpg,images\cursory_237_1.jpg","http://www.wordinfo.info/words/images/cursory-1.jpg,http://www.wordinfo.info/words/images/cursory-2.jpg"
curtail,"curtail
curtail
curtailed


for a list of additional Mickey Bach illustrations.","images\curtail_238_0.jpg,images\curtail_238_1.jpg,images\curtail_238_2.jpg","http://www.wordinfo.info/words/images/curtail-1.jpg,http://www.wordinfo.info/words/images/curtail-2.jpg,http://www.wordinfo.info/words/images/curtail-3.jpg"
dabble,"dabble
2. To play or to play around in water: Jackie was was
dabbling
so you can see more of Mickey Bach's cartoons.",images\dabble_239_0.jpg,http://www.wordinfo.info/words/images/dabble-1.jpg
daft,"daft
daft
so you can see more of Mickey Bach's cartoons.",images\daft_240_0.jpg,http://www.wordinfo.info/words/images/daft-1.jpg
dainty,"dainty
2. Delicious or a good choice; pleasing to the taste and, often, temptingly served as a delicate item:
Dainty
3. Of refined taste; discriminating and particular: Maxine took
dainty
dainty
4. Etymology: about 1225, from Old French
daintie
dignitatem
dignus",,
dally,,,
dearth,"dearth
dearth
death
death","images\dearth_243_0.jpg,images\dearth_243_1.jpg","http://www.wordinfo.info/words/images/dearth-1.jpg,http://www.wordinfo.info/words/images/dearth-2.jpg"
debacle,"debacle
2. Unexpected, disastrous collapses or downfalls: When the stock market crashed in 1928, financiers viewed it as a
debacle
3. A complete lack of success: After the
debacle
4. Etymology: originally, ""breaking up of ice in a river, a disaster"" from French
debacle
debacler
débâcler
de-
dis-
bacler
baclar
bacculare
bacculum
baculum
so you can see more of Mickey Bach's cartoons.",images\debacle_244_0.jpg,http://www.wordinfo.info/words/images/debacle-1.jpg
debutante,debutante,,
deciduous,"deciduous
2. A description of the teeth, antlers, or wings of animals and birds that are shed after a certain stage of development: The hunter never killed animals but he did collect the
deciduous
3. A reference to the thin horney plates protecting the skin of certain water animals that are shed easily or at intervals: The
deciduous
so you can see more of Mickey Bach's cartoons.",images\deciduous_246_0.jpg,http://www.wordinfo.info/words/images/deciduous-1.jpg
decisive,"decisive
2. Characterizing little or no hesitation; determined: The general was known for his
decisive
3. Indisputable; definite: The military unit suffered a
decisive
4. Unsurpassable; commanding: Greg had a
decisive
5. Concerning a person's firmness when making crucial resolutions: Nothing could influence Jane's determination and willpower to continue helping poor people because she had a very
decisive
so you can see more of Mickey Bach's cartoons.",images\decisive_247_0.jpg,http://www.wordinfo.info/words/images/decisive-1.jpg
declaiml,,,
declamation,declamations,,
decorvm,,,
decrcc,,,
defer,"deferred
2. To postpone the process of someone entering a branch of military service: Malcolm wanted to
defer",,
defiance,"2. The act of defying or challenging by fighting or a challenge or summons to a combat or contest: ""The worker's defiance resulted in a challenge to maintain the objectives of the project or he would take legal action.""",,
defile,2. A march in a line.,,
definitive,"definite
definitive",,
decry,"decried

so you can see more of Mickey Bach's cartoons.","images\decry_256_0.jpg,images\decry_256_1.jpg","http://www.wordinfo.info/words/images/decry-1.jpg,http://www.wordinfo.info/words/images/decry-2.jpg"
deft,"deft
2. Able to do something quickly and accurately: The young pianist's
deft

so you can see more of Mickey Bach's cartoons.","images\deft_257_0.jpg,images\deft_257_1.jpg","http://www.wordinfo.info/words/images/deft-1.jpg,http://www.wordinfo.info/words/images/deft-2.jpg"
demean,"demean
demeans
for a list of additional Mickey Bach illustrations.",images\demean_258_0.jpg,http://www.wordinfo.info/words/images/demean.jpg
dumur,,,
demure,"demure
2. Pertaining to clothes which are simple, unpretentious, and plain: Grace wanted to dress in a
demure
so you can see more of Mickey Bach's cartoons.",images\demure_260_0.jpg,http://www.wordinfo.info/words/images/demure-1.jpg
denizen,,,
denounce,"denouncing
denounced
denounced",,
deplete,,,
dupreciate,,,
derivative,"2. A word that is formed from another word; for example, ""quickly"" from ""quick"" or ""electricity"" from ""electric"".
3. A chemical substance that is formed from a related substance; such as, an opium derivative.
4. A financial product that can be traded and whose value depends on the value of some other asset or combination of assets.
Derivatives
derivative
derivatif
derivativus
derivare
de
rivus",,
derogatory,"derogatory
2. A reference to tendencies to diminish the merits or reputations of people or things: The Republican candidates have been making too many
derogatory


so you can see more of Mickey Bach's cartoons.","images\derogatory_266_0.jpg,images\derogatory_266_1.jpg,images\derogatory_266_2.jpg","http://www.wordinfo.info/words/images/derogatory-1.jpg,http://www.wordinfo.info/words/images/derogatory-2.jpg,http://www.wordinfo.info/words/images/derogatory-3.jpg"
desiccant,,,
despicable,"despicable
so you can see more of Mickey Bach's cartoons.",images\despicable_268_0.jpg,http://www.wordinfo.info/words/images/despicable-1.jpg
despot,"despot
2. Any tyrant or oppressor: There are some
despots
3. Etymology: from Greek:
despotes
domus
potis
so you can see more of Mickey Bach's cartoons.",images\despot_269_0.jpg,http://www.wordinfo.info/words/images/despot-2.jpg
deter,"deter
2. To prevent, to check, to stop; to block or to bring to a standstill: Jim's father was determined to
deter
3. Etymology: from Latin
deterrere
de-
terrere
so you can see more of Mickey Bach's cartoons.",images\deter_270_0.jpg,http://www.wordinfo.info/words/images/deter-1.jpg
detraction,,,
detriment,"detriment
2. Something that causes harm or injury: Not wearing a helmet when riding a bicycle can possibly result in
detriment
3. Etymology: from Latin
detrimentum
detri-
detere
de-
terere",,
deviance,,,
devious,"devious
2. Referring to something which does not adhere to the proper procedures or standards of behavior: Alice heard that her friend used
devious
3. Characteristic of something which is rambling or is roundabout; usually, that which changes directions many times: Because of an accident on the major highway, James had to go home by a
devious
4. Etymology: from Latin
devius
de
via

so you can see more of Mickey Bach's cartoons.","images\devious_274_0.jpg,images\devious_274_1.jpg","http://www.wordinfo.info/words/images/devious-1.jpg,http://www.wordinfo.info/words/images/devious-2.jpg"
dexterity,"dexterity
dexterity
dexterity
so you can see more of Mickey Bach's cartoons.",images\dexterity_275_0.jpg,http://www.wordinfo.info/words/images/dexterity-1.jpg
diffidence,"diffidence
so you can see more of Mickey Bach's cartoons.",images\diffidence_276_0.jpg,http://www.wordinfo.info/words/images/diffidence-1.jpg
dilapidated,"dilapidated
2. Etymology: from Latin
dilapidare
di-, dis'
lapidare
lapis, lapid-",images\dilapidated_277_0.jpg,http://www.wordinfo.info/words/images/dilapidated-1.jpg
dilate,,,
dilatory,"dilatory
2. Using cautious slow strategy to wear down the opposition; and so, avoiding direct confrontation and deferring a decision: The congressman, Mr. Gould, used a
dilatory
3. Etymology: from Latin
dilatorius
dilator
dilatus
differe

so you can see more of Mickey Bach's cartoons.","images\dilatory_279_0.jpg,images\dilatory_279_1.jpg","http://www.wordinfo.info/words/images/dilatory-1.jpg,http://www.wordinfo.info/words/images/dilatory-2.jpg"
disabuse,,,
disallow,,,
discern,"2. To understand something that is not immediately obvious.
3. To be able to tell the difference between two or more things.
4. To distinguish something apart from its surroundings or background.",,
discomfit,"discomfited
so you can see more of Mickey Bach's cartoons.",images\discomfit_283_0.jpg,http://www.wordinfo.info/words/images/discomfit-1.jpg
discomdose,,,
discord,2. Harsh or confusing because of a bad intermingling of sounds.,,
discourse,discourse,"images\discourse_286_0.jpg,images\discourse_286_1.jpg","http://www.wordinfo.info/words/images/discourse-1.jpg,http://www.wordinfo.info/words/images/discourse-2.jpg"
discredit,"2. Loss or want of belief or confidence; disbelief, distrust.
3. To show to be unworthy of belief; to take away the credibility of; to destroy confidence in.
4. To injure the credit or reputation of; to bring into discredit, disrepute, or loss of esteem; to disparage, degrade, defame, and slander.",,
discreet,"discreet
2. Pertaining to not talking about anything that should be secret or confidential: The Jacksons invited their neighbors over for tea in the afternoon and they were very
discreet
3. Tactful and judicious; especially, in dealing with others; careful not to say or to do the wrong thing: Isaac made
discreet
4. Subtle and circumspect, ensuring that no undue attention distracts others: A photographer followed the bride and groom at a
discreet
5. Etymology: from Latin,
discernere
dis-
cerno

so you can see more of Mickey Bach's cartoons.","images\discreet_288_0.jpg,images\discreet_288_1.jpg","http://www.wordinfo.info/words/images/discreet-1.jpg,http://www.wordinfo.info/words/images/discreet-2.jpg"
discrete,"discreet
Nola's friends could always rely her to be
discreet
discrete
The teacher presented a number of
discrete",,
discreton,,,
disdain,"disdain
2. Etymology: from Middle English from Old French
desdeign, desdeignier
dedignari
de-
dignari
dignus


so you can see more of Mickey Bach's cartoons.","images\disdain_291_0.jpg,images\disdain_291_1.jpg,images\disdain_291_2.jpg","http://www.wordinfo.info/words/images/disdain-2.jpg,http://www.wordinfo.info/words/images/disdain-1.jpg,http://www.wordinfo.info/words/images/disdain-3.jpg"
disinter,"disinterred
2. To bring to public notice; to disclose: Janice was able to
disinter
so you can see more of Mickey Bach's cartoons.",images\disinter_292_0.jpg,http://www.wordinfo.info/words/images/disinter-1.jpg
dislodge,,,
dismal,"dismal
2. Relating to being depressed and miserable: The nurse noticed how the patient's sickness was making him feel
dismal
3. Descriptive of being very bad, poor, or disaster: The drama that was presented turned out to be a
dismal
dies mali
dis mal
dismal",,
disparate,"desperate
disparate
2. Different from each other; dissimilar; radically different, different in essential qualities: The discussion included topics as
disparate
disparate
desperado
desperado","images\disparate_295_0.jpg,images\disparate_295_1.jpg","http://www.wordinfo.info/words/images/disparate-2.jpg,http://www.wordinfo.info/words/images/disparate-3.jpg"
disprool,,,
dissemble,"dissembled
2. To make a false show of; to feign; to put on the appearance of something not actually felt or true: Joe
dissembled
3. To disguise or to conceal one's real nature, motives, or emotional condition behind a false appearance: Hayden's friend continued to
dissemble

so you can see more of Mickey Bach's cartoons.","images\dissemble_297_0.jpg,images\dissemble_297_1.jpg","http://www.wordinfo.info/words/images/dissemble-1.jpg,http://www.wordinfo.info/words/images/dissemble-2.jpg"
dissent,"decent
descent
2. A downward incline or passage; a slope: The mountain goats followed the steep
descent
dissent
dissent
dissent",,
dissipate,"dissipated
2. To separate into parts and to vanish or go away almost to the point of completely passing out of sight: The wind finally
dissipated
3. To spend or to use all of something wastefully or to squander: Chuck's cousin
dissipated
dissipated

so you can see more of Mickey Bach's cartoons.","images\dissipate_299_0.jpg,images\dissipate_299_1.jpg","http://www.wordinfo.info/words/images/dissipate-1.jpg,http://www.wordinfo.info/words/images/dissipate-2.jpg"
dissolute,"desolate
desolate
dissolute
2. A description of someone whose way of living is considered morally wrong: It's sad to say, but Lorene has led a
dissolute","images\dissolute_300_0.jpg,images\dissolute_300_1.jpg","http://www.wordinfo.info/words/images/dissolute-1.jpg,http://www.wordinfo.info/words/images/dissolute-2.jpg"
dissolution,,,
distraught,"distracted
distrait
distraught","images\distraught_302_0.jpg,images\distraught_302_1.jpg","http://www.wordinfo.info/words/images/distraught-1.jpg,http://www.wordinfo.info/words/images/distraught-2.jpg"
divergence,"2. The departure from each other of two paths, courses, modes of action, or processes; continuous departure or deviation from a standard or norm.
3. Difference or disparity: a difference between two or more things such as opinions or attitudes.
4. Moving apart: the process of separating or moving away to follow different paths or different courses.",,
dlvulge,,,
dogmatic,"dogmatic
2. Relating to opinions that are accepted as true, instead of being founded upon experience: There are
dogmatic
3. Descriptive of certain people and their writings, comments, etc. which present views in an authoritative or arrogant manner: Mrs. Smithson seemed to be a very
dogmatic


so you can see more of Mickey Bach's cartoons.","images\dogmatic_305_0.jpg,images\dogmatic_305_1.jpg,images\dogmatic_305_2.jpg","http://www.wordinfo.info/words/images/dogmatic-1.jpg,http://www.wordinfo.info/words/images/dogmatic-2.jpg,http://www.wordinfo.info/words/images/dogmatic-3.jpg"
dolt,,,
dormant,"dormant
2. Pertaining to something that is not operating currently but could become active in the near future: Ted's bank account seemed to be a
dormant
so you can see more of Mickey Bach's cartoons.",images\dormant_307_0.jpg,http://www.wordinfo.info/words/images/dormant-1.jpg
dote,,,
drawl,,,
drone,"drones
2. Someone who does tedious or menial work; a drudge: Because shoveling out the cow barn is an endless task, one of the workers at the farm felt as if he were just a
drone
3. A pilotless air vehicle which is pre-programmed prior to launch to accomplish a set of functions with no further human intervention or it is operated by remote control from the ground: The military operated a
drone

Drones
drones
5. Etymology: from Middle English which came from Old English
dran",,
drowsiness,,,
drudge,,,
dubious,"dubious
2. Of questionable character; open to suspicion: The owner of the construction company had
dubious
3. Etymology: from Latin
dubiosus
dubium
dubius
duo
tweo

so you can see more of Mickey Bach's cartoons.","images\dubious_313_0.jpg,images\dubious_313_1.jpg","http://www.wordinfo.info/words/images/dubious-1.jpg,http://www.wordinfo.info/words/images/dubious-2.jpg"
dupe,"dope
2. Slang for someone who is not considered to be very intelligent: When Hans lost the spelling bee, he felt like a complete
dope
dupe
dupe",images\dupe_314_0.jpg,http://www.wordinfo.info/words/images/dupe-1.jpg
duplicity,"duplicity
duplicities
2. Etymology: borrowed from Middle French
duplicite
duplicitatem, duplicitas

so you can see more of Mickey Bach's cartoons.","images\duplicity_315_0.jpg,images\duplicity_315_1.jpg","http://www.wordinfo.info/words/images/duplicity-1.jpg,http://www.wordinfo.info/words/images/duplicity-2.jpg"
dwarf,,,
s,,,
dynamo,"2. A hard-working, tirelessly energetic person or someone with a lot of energy and determination.",,
earthenware,2. That which is produced by the potter; made of earthenware.,,
earthy,"earthly
earthy
2. Plain and simple in style: This restaurant tends to serve food that is made with basic and natural
earthy
3. Not polite; somewhat rude or crude: Charley's humor tends to be
earthy",,
eddy,oceanic eddy,,
edible,"addible

addible
edible",,
efficacy,"efficacy

so you can see more of Mickey Bach's cartoons.","images\efficacy_323_0.jpg,images\efficacy_323_1.jpg","http://www.wordinfo.info/words/images/efficacy-1.jpg,http://www.wordinfo.info/words/images/efficacy-2.jpg"
egoism,"egoism
2. Excessive preoccupation with one's own well-being and interests, usually accompanied by an inflated sense of self-importance:
Egoism",,
egotism,"egoism
egotism",images\egotism_325_0.jpg,http://www.wordinfo.info/words/images/egotism-1.jpg
egress,,,
elaborate,"2. Made with a lot of intricate detail or extravagant ornamentation: ""She wore an elaborate headdress.""
3. Thought out, or organized, with thoroughness and careful attention to detail: ""They made elaborate preparations for their trip to England.""",,
eian,,,
elegiac,"elegiac
2. Referring to the communication of sorrow, sadness, or morning: The music played at the funeral was certainly
elegiac",,
elegy,"elegy
eulogy",,
s,,,
cllcit,,,
eloquence,"2. The quality of being eloquent, as an attribute of speakers or writers, their utterances or style.
3. An alleged technical term denoting a company of lawyers;",,
emaciate,"emaciated
2. Etymology: ""to make excessively thin""; from Latin
emaciatus
emaciare
ex-
macies
macer",,
amanate,,,
ambark,,,
embellish,"embellished
2. To make a description more interesting by inventing, exaggerating, or adding special details: Sam was
embellishing
embellish
embellishing
4. Etymology: from Old French
embellier
em
bellus

so you can see more of Mickey Bach's cartoons.","images\embellish_337_0.jpg,images\embellish_337_1.jpg","http://www.wordinfo.info/words/images/embellish-1.jpg,http://www.wordinfo.info/words/images/embellish-2.jpg"
embezzie,,,
emend,"amend
amend
amend
emend
emend",,
emote,,,
emulate,"emulate
2. To compete with successfully or to be successful in comparison with someone or something else: After his fathers death, Doug took over his position of being president in his fathers firm and tried to
emulate
3. To approach or to attain similarity with someone, or something, by imitation or by producing a superior product: Tom admired his favorite TV star so much that he decided to
emulate
4. In computer science, to imitate the functions of another system, by modifications to hardware or software that allow the imitating system to accept the same data, to execute the same programs, and to achieve the same results as the imitated system: James had his hardware and software, or a combination of the two,
emulated


so you can see more of Mickey Bach's cartoons.","images\emulate_341_0.jpg,images\emulate_341_1.jpg","http://www.wordinfo.info/words/images/emulate-1.jpg,http://www.wordinfo.info/words/images/emulate-2.jpg"
encapsulate,"2. To express in a brief summary; epitomize: headlines that encapsulate the news.
3. To show or to express the main idea or quality of something in a brief way.
4. To completely cover something; especially, so that it will not touch anything else: ""The contaminated material should be encapsulated and removed.""",,
encumbrance,"encumbrance
encumbrances
encumbrances
encumbrance",,
endearing,"endear
endears
so you can see more of Mickey Bach's cartoons.",images\endearing_344_0.jpg,http://www.wordinfo.info/words/images/endear-1.jpg
undorse,,,
enduring,"enduring
2. To deal with or to accept something unpleasant: The neighbors
endured
so you can see more of Mickey Bach's cartoons.",images\enduring_346_0.jpg,http://www.wordinfo.info/words/images/endure-1.jpg
engrave,,,
engrossing,"engrossed
2. To occupy wholly; to absorb completely, to take up all the attention of: Mary became so
engrossed
3. To copy or to write in large, clear letters: Lynns father had bad eyesight, so, when she wrote him letters, she
engrossed
engrossed
4. Etymology: from Latin
ingrossare",images\engrossing_348_0.jpg,http://www.wordinfo.info/words/images/engrossed-2.jpg
engulf,,,
enmity,"amity
enmity


The Boston Globe
International Herald Tribune
January 23, 2009; page 6.","images\enmity_350_0.jpg,images\enmity_350_1.jpg,images\enmity_350_2.jpg","http://www.wordinfo.info/words/images/enmity-1.jpg,http://www.wordinfo.info/words/images/enmity-2.jpg,http://www.wordinfo.info/words/images/enmity-3.jpg"
annui,,,
enormin,,,
ensian,,,
entangle,,,
anthril,,,
entice,"entice
so you can see more of Mickey Bach's cartoons.",images\entice_356_0.jpg,http://www.wordinfo.info/words/images/entice-1.jpg
antreat,,,
enunciate,enunciate,,
cntvinc,,,
epitome,"epitome
2. The embodiment or summation of certain qualities: Henry is the
epitome
3. A person or thing which is representative of or typical of the characteristics or general quality of a whole class or group: Ted's car was once the
epitome
4. Etymology: from Greek
epitome
epitome
so you can see more of Mickey Bach's cartoons.",images\epitome_360_0.jpg,http://www.wordinfo.info/words/images/epitome-1.jpg
equable,"equable
2. Pertaining to something which does not vary or fluctuate very much: The
equable
so you can see more of Mickey Bach's cartoons.",images\equable_361_0.jpg,http://www.wordinfo.info/words/images/equable-1.jpg
equilibrium,"2. The ability to maintain a mental state of calmness and composure.
3. A situation in which opposing forces or factors balance each other and stability is attained.
4. In a physical sense: The condition of equal balance between opposing forces; that state of a material system in which the forces acting upon the system, or those that are taken into consideration, are so arranged that their resultant at every point is zero.
5. The state of equal balance between powers of any kind; equality of importance or effect among the various parts of any complex unity.
6. The condition of suspense or uncertainty produced by equality with the forces of opposing influences; neutrality of judgment or volition.
7. Etymology: from Latin
æquilibrium
æquus
libra",,
eradicate,"eradicate
2. To pull out by the roots: Josephine is trying to
eradicate
so you can see more of Mickey Bach's cartoons.",images\eradicate_363_0.jpg,http://www.wordinfo.info/words/images/eradicate-1.jpg
erratic,"erratic
2. A reference to an unpredictable, irregular, or inconsistent situation; especially, in being likely to depart from expected standards at any time: During the summer holidays, Jaden's schedule for practicing the piano was more
erratic
3. Characteristic of something which changes direction and does not follow any definite course: Flying in the wind, Fay's kite was most
erratic
4. A reference to a constant reorientation which has no fixed or regular path; wandering: Ralph and Deborah decided to take a more
erratic
5. Relating to the lack of consistency, regularity, or uniformity: Dr. Black, the cardiologist, was monitoring Jane's
erratic
6. Referring to variable or unpredictable conditions; such as, the progression of an illness or the site of pain: Oscar tried to describe the
erratic
7. A description of a rock or boulder that was carried from its source by ice and deposited when the ice melted: Maribel picked up an
erratic
so you can see more of Mickey Bach's cartoons.",images\erratic_364_0.jpg,http://www.wordinfo.info/words/images/erratic-1.jpg
erudite,,"images\erudite_365_0.jpg,images\erudite_365_1.jpg,images\erudite_365_2.jpg","http://www.wordinfo.info/words/images/erudite-1.jpg,http://www.wordinfo.info/words/images/erudite-2.jpg,http://www.wordinfo.info/words/images/erudite-3.jpg"
espouse,"espousing
espoused
espoused

so you can see more of Mickey Bach's cartoons.","images\espouse_366_0.jpg,images\espouse_366_1.jpg","http://www.wordinfo.info/words/images/espouse-1.jpg,http://www.wordinfo.info/words/images/espouse-2.jpg"
etiquette,,,
s,,,
eulogy,"elegy
eulogy",,
euphoria,"euphoria
Euphoria
euphoria
3. Etymology: from Greek, from
euphoros
eu-
pherein
so you can see more of Mickey Bach's cartoons.",images\euphoria_370_0.jpg,http://www.wordinfo.info/words/images/euphoria-1.jpg
euthanasia,2. The deliberate ending of life in individuals with an incurable and painful disease.,,
evasive,,,
avoke,,,
cxasperale,,,
excerpt,"excerpts
excerpt
ex-
carpere
extract
excerptum

Reader's Digest Family Word Finder
Pleasantville, New York; 1975; page 276.
so you can see more of Mickey Bach's cartoons.",images\excerpt_375_0.jpg,http://www.wordinfo.info/words/images/excerpt-1.jpg
exhaustive,"exhaustible
exhausting
exhausting
exhaustive",,
exigency,"exigencies
2. A difficult situation requiring urgent action: The case of
exigency
3. The needs, demands, or requirements intrinsic to circumstances, conditions, etc.: When the great floods covered many parts of the area, fast
exigency",,
exorbitant,"exorbitant
exorbitant
Exorbitant
exorbitantem, exorbitans, exorbitare
ex-
orbita

so you can see more of Mickey Bach's cartoons.","images\exorbitant_378_0.jpg,images\exorbitant_378_1.jpg","http://www.wordinfo.info/words/images/exorbitant-1.jpg,http://www.wordinfo.info/words/images/exorbitant-2.jpg"
expedient,"expedient
2. A means to an end: Mack used a hidden key as a useful
expedient
3. An objective that is devised or employed as a procedure to achieve a desire; not necessarily an honest one: The governing body was accused of choosing short-term
expedients
expedients
so you can see more of Mickey Bach's cartoons.","images\expedient_379_0.jpg,images\expedient_379_1.jpg,images\expedient_379_2.jpg","http://www.wordinfo.info/words/images/expedient-2.jpg,http://www.wordinfo.info/words/images/expedient-1.jpg,http://www.wordinfo.info/words/images/expedient-3.jpg"
exploit,"exploited
2. To make full use of and to derive benefit from a resource: Hundreds of companies have decided to
exploit
3. To take advantage of or to make selfish use of someone or something: Jim's employer has been
exploiting

so you can see more of Mickey Bach's cartoons.","images\exploit_380_0.jpg,images\exploit_380_1.jpg","http://www.wordinfo.info/words/images/exploit-1.jpg,http://www.wordinfo.info/words/images/exploit-2.jpg"
extempore,extempore,,
extinct,"extinct
2. Concerning something which is no longer a reality: With advanced electronic equipment, it is most difficult to find a tape recorder or black and white TV sets because they have now become
extinct
3. Pertaining to a volcano which has not been active in recorded history: Richard and his children were able to look down into the
extinct
4. Characterising something which is no longer burning: Before Tom and his fellow campers retired for the night, they put out the open-air fire and waited until it was completely
extinct

so you can see more of Mickey Bach's cartoons.","images\extinct_382_0.jpg,images\extinct_382_1.jpg","http://www.wordinfo.info/words/images/extinct-1.jpg,http://www.wordinfo.info/words/images/extinct-2.jpg"
extinguish,,,
extol,"extolled
2. To commend, to glorify, or to honor: The health benefits of exercising have been
extolled",images\extol_384_0.jpg,http://www.wordinfo.info/words/images/extol-1.jpg
extor,,,
extroverc,,,
fallacious,"fallacious
2. Pertaining to something that is deceiving or based on untrue information or ideas: The testimony provided by the witness during the trial obviously consisted of several
fallacious


so you can see more of Mickey Bach's cartoons.","images\fallacious_387_0.jpg,images\fallacious_387_1.jpg,images\fallacious_387_2.jpg","http://www.wordinfo.info/words/images/fallacious-1.jpg,http://www.wordinfo.info/words/images/fallacious-2.jpg,http://www.wordinfo.info/words/images/fallacious-3.jpg"
falter,"faltering
2. To speak hesitatingly; to stammer; unsteadiness in speech or action: Lou's voice seemed to
falter
3. To lose strength, power, or vitality; to move teeteringly: The effect of the woman's long illness caused her strength to
falter
4. To show a loss of confidence; especially, to speak or to act with hesitation: The audience could tell that the speaker was very nervous because his voice was
faltering
5. Etymology: of unknown origin, possibly from a Scandinavian source of Old Norse
faltrask
falden
fault",,
fanciful,,,
tawn,,,
toign,,,
felon,"felon
2. Those who have committed a more serious crime than those designated as misdemeanors; for example, aggravated assault as contrasted with a simple assault or a misdemeanor: Although the man was convicted as a
felon",,
emnur,,,
ferment,"ferment
ferments
ferments",,
icrocity,,,
enor,,,
feud,,,
fidelity,"2. Strict conformity to truth or fact.
3. Faithfulness to a sexual partner; especially, a husband or wife.
4. The degree to which a sound or picture reproduced or transmitted by any device resembles the original; especially, in high fidelity.",,
fidget,,,
figurehead,"figurehead
2. A formal leader without any control or authority: The ceremonial king or queen is a
figurehead
so you can see more of Mickey Bach's cartoons.",images\figurehead_400_0.jpg,http://www.wordinfo.info/words/images/figurehead-1.jpg
finesse,"fineness
2. The proportion of pure gold or silver in an alloy: There is a high
fineness
finesse
2. Subtlety or tact in maneuvering; craftiness: Todd showed much shrewdness and
finesse",,
finical,,,
finicky,,,
fission,"2. In biology, the spontaneous division of a cell or organism into new cells or organisms; especially, as a mode of reproduction; cell division.
3. In physics, the disintegration of the nucleus of a heavy atom, leading to the formation of nuclei of more stable atoms and the release of energy.",,
flak,"flak
2. Artillery made to shoot vertically at airplanes: In the story Daniel was reading, volley after volley of
flak
so you can see more of Mickey Bach's cartoons.",images\flak_405_0.jpg,http://www.wordinfo.info/words/images/flak-1.jpg
